Date,Time,State,Group,Unit,Sales
03-Oct-20, Afternoon,NY, Seniors,17,42500
03-Oct-20, Evening,NY, Kids,32,80000
03-Oct-20, Evening,NY, Men,15,37500
03-Oct-20, Evening,NY, Women,36,90000
03-Oct-20, Evening,NY, Seniors,17,42500
03-Oct-20, Morning,TX, Kids,4,10000
03-Oct-20, Morning,TX, Men,12,30000
03-Oct-20, Morning,TX, Women,8,20000
03-Oct-20, Morning,TX, Seniors,10,25000
03-Oct-20, Afternoon,TX, Kids,10,25000
03-Oct-20, Afternoon,TX, Men,10,25000
03-Oct-20, Afternoon,TX, Women,14,35000
03-Oct-20, Afternoon,TX, Seniors,11,27500
03-Oct-20, Evening,TX, Kids,3,7500
03-Oct-20, Evening,TX, Men,8,20000
03-Oct-20, Evening,TX, Women,9,22500
03-Oct-20, Evening,TX, Seniors,7,17500
04-Oct-20, Morning, WA, Kids,7,17500
04-Oct-20, Morning, WA, Men,15,37500
04-Oct-20, Morning, WA, Women,15,37500
04-Oct-20, Morning, WA, Seniors,3,7500
04-Oct-20, Afternoon, WA, Kids,3,7500
04-Oct-20, Afternoon, WA, Men,10,25000
04-Oct-20, Afternoon, WA, Women,6,15000
04-Oct-20, Afternoon, WA, Seniors,10,25000
04-Oct-20, Evening, WA, Kids,9,22500
04-Oct-20, Evening, WA, Men,8,20000
04-Oct-20, Evening, WA, Women,9,22500
04-Oct-20, Evening, WA, Seniors,15,37500
04-Oct-20, Morning,AZ, Kids,9,22500
04-Oct-20, Morning,AZ, Men,5,12500
04-Oct-20, Morning,AZ, Women,8,20000
04-Oct-20, Morning,AZ, Seniors,12,30000
04-Oct-20, Afternoon,AZ, Kids,3,7500
04-Oct-20, Afternoon,AZ, Men,6,15000
04-Oct-20, Afternoon,AZ, Women,7,17500
04-Oct-20, Afternoon,AZ, Seniors,13,32500
04-Oct-20, Evening,AZ, Kids,11,27500
04-Oct-20, Evening,AZ, Men,7,17500
04-Oct-20, Evening,AZ, Women,7,17500
04-Oct-20, Evening,AZ, Seniors,9,22500
04-Oct-20, Morning,FL, Kids,11,27500
04-Oct-20, Morning,FL, Men,26,65000
04-Oct-20, Morning,FL, Women,19,47500
04-Oct-20, Morning,FL, Seniors,29,72500
04-Oct-20, Afternoon,FL, Kids,15,37500
04-Oct-20, Afternoon,FL, Men,19,47500
04-Oct-20, Afternoon,FL, Women,31,77500
04-Oct-20, Afternoon,FL, Seniors,28,70000
04-Oct-20, Evening,FL, Kids,22,55000
04-Oct-20, Evening,FL, Men,11,27500
04-Oct-20, Evening,FL, Women,11,27500
04-Oct-20, Evening,FL, Seniors,21,52500
04-Oct-20, Morning,KY, Kids,37,92500
04-Oct-20, Morning,KY, Men,27,67500
04-Oct-20, Morning,KY, Women,33,82500
04-Oct-20, Morning,KY, Seniors,25,62500
04-Oct-20, Afternoon,KY, Kids,26,65000
04-Oct-20, Afternoon,KY, Men,27,67500
04-Oct-20, Afternoon,KY, Women,26,65000
04-Oct-20, Afternoon,KY, Seniors,36,90000
04-Oct-20, Evening,KY, Kids,31,77500
04-Oct-20, Evening,KY, Men,40,100000
04-Oct-20, Evening,KY, Women,46,115000
04-Oct-20, Evening,KY, Seniors,34,85000
04-Oct-20, Morning,CA, Kids,19,47500
04-Oct-20, Morning,CA, Men,14,35000
04-Oct-20, Morning,CA, Women,14,35000
04-Oct-20, Morning,CA, Seniors,20,50000
04-Oct-20, Afternoon,CA, Kids,16,40000
04-Oct-20, Afternoon,CA, Men,18,45000
04-Oct-20, Afternoon,CA, Women,8,20000
04-Oct-20, Afternoon,CA, Seniors,20,50000
04-Oct-20, Evening,CA, Kids,12,30000
04-Oct-20, Evening,CA, Men,17,42500
04-Oct-20, Evening,CA, Women,16,40000
04-Oct-20, Evening,CA, Seniors,16,40000
04-Oct-20, Morning,NY, Kids,21,52500
04-Oct-20, Morning,NY, Men,39,97500
04-Oct-20, Morning,NY, Women,34,85000
04-Oct-20, Morning,NY, Seniors,19,47500
04-Oct-20, Afternoon,NY, Kids,26,65000
04-Oct-20, Afternoon,NY, Men,17,42500
04-Oct-20, Afternoon,NY, Women,33,82500
04-Oct-20, Afternoon,NY, Seniors,28,70000
04-Oct-20, Evening,NY, Kids,32,80000
04-Oct-20, Evening,NY, Men,20,50000
04-Oct-20, Evening,NY, Women,35,87500
04-Oct-20, Evening,NY, Seniors,34,85000
04-Oct-20, Morning,TX, Kids,6,15000
04-Oct-20, Morning,TX, Men,12,30000
04-Oct-20, Morning,TX, Women,7,17500
04-Oct-20, Morning,TX, Seniors,4,10000
04-Oct-20, Afternoon,TX, Kids,10,25000
04-Oct-20, Afternoon,TX, Men,8,20000
04-Oct-20, Afternoon,TX, Women,11,27500
04-Oct-20, Afternoon,TX, Seniors,15,37500
04-Oct-20, Evening,TX, Kids,12,30000
04-Oct-20, Evening,TX, Men,15,37500
04-Oct-20, Evening,TX, Women,11,27500
04-Oct-20, Evening,TX, Seniors,11,27500
05-Oct-20, Morning, WA, Kids,11,27500
05-Oct-20, Morning, WA, Men,6,15000
05-Oct-20, Morning, WA, Women,6,15000
05-Oct-20, Morning, WA, Seniors,15,37500
05-Oct-20, Afternoon, WA, Kids,14,35000
05-Oct-20, Afternoon, WA, Men,12,30000
05-Oct-20, Afternoon, WA, Women,3,7500
05-Oct-20, Afternoon, WA, Seniors,5,12500
05-Oct-20, Evening, WA, Kids,7,17500
05-Oct-20, Evening, WA, Men,15,37500
05-Oct-20, Evening, WA, Women,8,20000
05-Oct-20, Evening, WA, Seniors,10,25000
05-Oct-20, Morning,AZ, Kids,15,37500
05-Oct-20, Morning,AZ, Men,4,10000
05-Oct-20, Morning,AZ, Women,8,20000
05-Oct-20, Morning,AZ, Seniors,13,32500
05-Oct-20, Afternoon,AZ, Kids,9,22500
05-Oct-20, Afternoon,AZ, Men,8,20000
05-Oct-20, Afternoon,AZ, Women,8,20000
05-Oct-20, Afternoon,AZ, Seniors,5,12500
05-Oct-20, Evening,AZ, Kids,9,22500
05-Oct-20, Evening,AZ, Men,9,22500
05-Oct-20, Evening,AZ, Women,3,7500
05-Oct-20, Evening,AZ, Seniors,9,22500
05-Oct-20, Morning,FL, Kids,25,62500
05-Oct-20, Morning,FL, Men,32,80000
05-Oct-20, Morning,FL, Women,17,42500
05-Oct-20, Morning,FL, Seniors,32,80000
05-Oct-20, Afternoon,FL, Kids,28,70000
05-Oct-20, Afternoon,FL, Men,17,42500
05-Oct-20, Afternoon,FL, Women,22,55000
05-Oct-20, Afternoon,FL, Seniors,34,85000
05-Oct-20, Evening,FL, Kids,34,85000
05-Oct-20, Evening,FL, Men,26,65000
05-Oct-20, Evening,FL, Women,32,80000
05-Oct-20, Evening,FL, Seniors,11,27500
05-Oct-20, Morning,KY, Kids,38,95000
05-Oct-20, Morning,KY, Men,43,107500
05-Oct-20, Morning,KY, Women,41,102500
05-Oct-20, Morning,KY, Seniors,38,95000
05-Oct-20, Afternoon,KY, Kids,34,85000
05-Oct-20, Afternoon,KY, Men,33,82500
05-Oct-20, Afternoon,KY, Women,31,77500
05-Oct-20, Afternoon,KY, Seniors,32,80000
05-Oct-20, Evening,KY, Kids,40,100000
05-Oct-20, Evening,KY, Men,38,95000
05-Oct-20, Evening,KY, Women,30,75000
05-Oct-20, Evening,KY, Seniors,44,110000
05-Oct-20, Morning,CA, Kids,7,17500
05-Oct-20, Morning,CA, Men,11,27500
05-Oct-20, Morning,CA, Women,13,32500
05-Oct-20, Morning,CA, Seniors,9,22500
05-Oct-20, Afternoon,CA, Kids,12,30000
05-Oct-20, Afternoon,CA, Men,18,45000
05-Oct-20, Afternoon,CA, Women,9,22500
05-Oct-20, Afternoon,CA, Seniors,17,42500
05-Oct-20, Evening,CA, Kids,13,32500
05-Oct-20, Evening,CA, Men,6,15000
05-Oct-20, Evening,CA, Women,9,22500
05-Oct-20, Evening,CA, Seniors,20,50000
05-Oct-20, Morning,NY, Kids,38,95000
05-Oct-20, Morning,NY, Men,20,50000
05-Oct-20, Morning,NY, Women,15,37500
05-Oct-20, Morning,NY, Seniors,22,55000
05-Oct-20, Afternoon,NY, Kids,35,87500
05-Oct-20, Afternoon,NY, Men,32,80000
05-Oct-20, Afternoon,NY, Women,29,72500
05-Oct-20, Afternoon,NY, Seniors,20,50000
05-Oct-20, Evening,NY, Kids,28,70000
05-Oct-20, Evening,NY, Men,30,75000
05-Oct-20, Evening,NY, Women,23,57500
05-Oct-20, Evening,NY, Seniors,34,85000
05-Oct-20, Morning,TX, Kids,9,22500
05-Oct-20, Morning,TX, Men,14,35000
05-Oct-20, Morning,TX, Women,5,12500
05-Oct-20, Morning,TX, Seniors,11,27500
05-Oct-20, Afternoon,TX, Kids,7,17500
05-Oct-20, Afternoon,TX, Men,8,20000
05-Oct-20, Afternoon,TX, Women,3,7500
05-Oct-20, Afternoon,TX, Seniors,10,25000
05-Oct-20, Evening,TX, Kids,15,37500
05-Oct-20, Evening,TX, Men,12,30000
05-Oct-20, Evening,TX, Women,13,32500
05-Oct-20, Evening,TX, Seniors,4,10000
06-Oct-20, Morning, WA, Kids,14,35000
06-Oct-20, Morning, WA, Men,6,15000
06-Oct-20, Morning, WA, Women,10,25000
06-Oct-20, Morning, WA, Seniors,13,32500
06-Oct-20, Afternoon, WA, Kids,5,12500
06-Oct-20, Afternoon, WA, Men,12,30000
06-Oct-20, Afternoon, WA, Women,15,37500
06-Oct-20, Afternoon, WA, Seniors,8,20000
06-Oct-20, Evening, WA, Kids,8,20000
06-Oct-20, Evening, WA, Men,14,35000
06-Oct-20, Evening, WA, Women,4,10000
06-Oct-20, Evening, WA, Seniors,8,20000
06-Oct-20, Morning,AZ, Kids,9,22500
06-Oct-20, Morning,AZ, Men,11,27500
06-Oct-20, Morning,AZ, Women,3,7500
06-Oct-20, Morning,AZ, Seniors,10,25000
06-Oct-20, Afternoon,AZ, Kids,10,25000
06-Oct-20, Afternoon,AZ, Men,9,22500
06-Oct-20, Afternoon,AZ, Women,6,15000
06-Oct-20, Afternoon,AZ, Seniors,15,37500
06-Oct-20, Evening,AZ, Kids,3,7500
06-Oct-20, Evening,AZ, Men,9,22500
06-Oct-20, Evening,AZ, Women,3,7500
06-Oct-20, Evening,AZ, Seniors,10,25000
06-Oct-20, Morning,FL, Kids,26,65000
06-Oct-20, Morning,FL, Men,17,42500
06-Oct-20, Morning,FL, Women,25,62500
06-Oct-20, Morning,FL, Seniors,25,62500
06-Oct-20, Afternoon,FL, Kids,32,80000
06-Oct-20, Afternoon,FL, Men,17,42500
06-Oct-20, Afternoon,FL, Women,19,47500
06-Oct-20, Afternoon,FL, Seniors,26,65000
06-Oct-20, Evening,FL, Kids,21,52500
06-Oct-20, Evening,FL, Men,19,47500
06-Oct-20, Evening,FL, Women,33,82500
06-Oct-20, Evening,FL, Seniors,22,55000
06-Oct-20, Morning,KY, Kids,50,125000
06-Oct-20, Morning,KY, Men,28,70000
06-Oct-20, Morning,KY, Women,35,87500
06-Oct-20, Morning,KY, Seniors,37,92500
06-Oct-20, Afternoon,KY, Kids,41,102500
06-Oct-20, Afternoon,KY, Men,34,85000
06-Oct-20, Afternoon,KY, Women,48,120000
06-Oct-20, Afternoon,KY, Seniors,49,122500
06-Oct-20, Evening,KY, Kids,49,122500
06-Oct-20, Evening,KY, Men,46,115000
06-Oct-20, Evening,KY, Women,25,62500
06-Oct-20, Evening,KY, Seniors,31,77500
06-Oct-20, Morning,CA, Kids,11,27500
06-Oct-20, Morning,CA, Men,7,17500
06-Oct-20, Morning,CA, Women,9,22500
06-Oct-20, Morning,CA, Seniors,15,37500
06-Oct-20, Afternoon,CA, Kids,7,17500
06-Oct-20, Afternoon,CA, Men,15,37500
06-Oct-20, Afternoon,CA, Women,5,12500
06-Oct-20, Afternoon,CA, Seniors,7,17500
06-Oct-20, Evening,CA, Kids,17,42500
06-Oct-20, Evening,CA, Men,14,35000
06-Oct-20, Evening,CA, Women,19,47500
06-Oct-20, Evening,CA, Seniors,20,50000
06-Oct-20, Morning,NY, Kids,37,92500
06-Oct-20, Morning,NY, Men,35,87500
06-Oct-20, Morning,NY, Women,15,37500
06-Oct-20, Morning,NY, Seniors,17,42500
06-Oct-20, Afternoon,NY, Kids,39,97500
06-Oct-20, Afternoon,NY, Men,26,65000
06-Oct-20, Afternoon,NY, Women,33,82500
06-Oct-20, Afternoon,NY, Seniors,29,72500
06-Oct-20, Evening,NY, Kids,40,100000
06-Oct-20, Evening,NY, Men,20,50000
06-Oct-20, Evening,NY, Women,28,70000
06-Oct-20, Evening,NY, Seniors,34,85000
06-Oct-20, Morning,TX, Kids,14,35000
06-Oct-20, Morning,TX, Men,5,12500
06-Oct-20, Morning,TX, Women,14,35000
06-Oct-20, Morning,TX, Seniors,14,35000
06-Oct-20, Afternoon,TX, Kids,13,32500
06-Oct-20, Afternoon,TX, Men,11,27500
06-Oct-20, Afternoon,TX, Women,7,17500
06-Oct-20, Afternoon,TX, Seniors,5,12500
06-Oct-20, Evening,TX, Kids,4,10000
06-Oct-20, Evening,TX, Men,10,25000
06-Oct-20, Evening,TX, Women,10,25000
06-Oct-20, Evening,TX, Seniors,8,20000
07-Oct-20, Morning, WA, Kids,12,30000
07-Oct-20, Morning, WA, Men,15,37500
07-Oct-20, Morning, WA, Women,9,22500
07-Oct-20, Morning, WA, Seniors,9,22500
07-Oct-20, Afternoon, WA, Kids,4,10000
07-Oct-20, Afternoon, WA, Men,15,37500
07-Oct-20, Afternoon, WA, Women,5,12500
07-Oct-20, Afternoon, WA, Seniors,9,22500
07-Oct-20, Evening, WA, Kids,8,20000
07-Oct-20, Evening, WA, Men,9,22500
07-Oct-20, Evening, WA, Women,10,25000
07-Oct-20, Evening, WA, Seniors,5,12500
07-Oct-20, Morning,AZ, Kids,3,7500
07-Oct-20, Morning,AZ, Men,7,17500
07-Oct-20, Morning,AZ, Women,11,27500
07-Oct-20, Morning,AZ, Seniors,11,27500
07-Oct-20, Afternoon,AZ, Kids,14,35000
07-Oct-20, Afternoon,AZ, Men,6,15000
07-Oct-20, Afternoon,AZ, Women,6,15000
07-Oct-20, Afternoon,AZ, Seniors,13,32500
07-Oct-20, Evening,AZ, Kids,3,7500
07-Oct-20, Evening,AZ, Men,12,30000
07-Oct-20, Evening,AZ, Women,8,20000
07-Oct-20, Evening,AZ, Seniors,14,35000
07-Oct-20, Morning,FL, Kids,23,57500
07-Oct-20, Morning,FL, Men,18,45000
07-Oct-20, Morning,FL, Women,13,32500
07-Oct-20, Morning,FL, Seniors,23,57500
07-Oct-20, Afternoon,FL, Kids,18,45000
07-Oct-20, Afternoon,FL, Men,33,82500
07-Oct-20, Afternoon,FL, Women,17,42500
07-Oct-20, Afternoon,FL, Seniors,24,60000
07-Oct-20, Evening,FL, Kids,18,45000
07-Oct-20, Evening,FL, Men,35,87500
07-Oct-20, Evening,FL, Women,16,40000
07-Oct-20, Evening,FL, Seniors,15,37500
07-Oct-20, Morning,KY, Kids,29,72500
07-Oct-20, Morning,KY, Men,36,90000
07-Oct-20, Morning,KY, Women,28,70000
07-Oct-20, Morning,KY, Seniors,42,105000
07-Oct-20, Afternoon,KY, Kids,28,70000
07-Oct-20, Afternoon,KY, Men,25,62500
07-Oct-20, Afternoon,KY, Women,36,90000
07-Oct-20, Afternoon,KY, Seniors,44,110000
07-Oct-20, Evening,KY, Kids,47,117500
07-Oct-20, Evening,KY, Men,28,70000
07-Oct-20, Evening,KY, Women,33,82500
07-Oct-20, Evening,KY, Seniors,49,122500
07-Oct-20, Morning,CA, Kids,12,30000
07-Oct-20, Morning,CA, Men,13,32500
07-Oct-20, Morning,CA, Women,8,20000
07-Oct-20, Morning,CA, Seniors,19,47500
07-Oct-20, Afternoon,CA, Kids,6,15000
07-Oct-20, Afternoon,CA, Men,20,50000
07-Oct-20, Afternoon,CA, Women,9,22500
07-Oct-20, Afternoon,CA, Seniors,8,20000
07-Oct-20, Evening,CA, Kids,11,27500
07-Oct-20, Evening,CA, Men,6,15000
07-Oct-20, Evening,CA, Women,12,30000
07-Oct-20, Evening,CA, Seniors,7,17500
07-Oct-20, Morning,NY, Kids,18,45000
07-Oct-20, Morning,NY, Men,39,97500
07-Oct-20, Morning,NY, Women,38,95000
07-Oct-20, Morning,NY, Seniors,18,45000
